"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,7,0,18519,NA
1972,1,NA,7,0,25926,NA
1972,1,NA,1,5,41667,NA
1972,1,NA,1,3,33333,NA
1972,1,NA,1,0,25926,NA
1972,1,NA,1,1,NA,NA
1972,1,NA,1,0,60185,NA
1972,1,NA,1,2,41667,NA
1972,1,NA,1,0,69444,NA
1972,1,NA,1,0,41667,NA
1972,1,NA,3,5,25926,NA
1972,1,NA,3,0,3704,NA
1972,1,NA,3,0,33333,NA
1972,1,NA,3,2,NA,NA
1972,1,NA,3,7,3704,NA
1972,1,NA,3,5,18519,NA
1972,1,NA,3,7,41667,NA
1972,1,NA,3,3,41667,NA
1972,1,NA,3,1,18519,NA
1972,2,NA,3,5,33333,NA
1972,1,NA,3,1,3704,NA
1972,1,NA,3,0,3704,NA
1972,2,NA,3,1,50926,NA
1972,2,NA,3,5,41667,NA
1972,2,NA,3,1,50926,NA
1972,2,NA,3,1,69444,NA
1972,1,NA,3,3,101852,NA
1972,2,NA,3,3,60185,NA
1972,1,NA,3,5,41667,NA
1972,1,NA,3,1,33333,NA
1972,1,NA,3,1,25926,NA
1972,1,NA,3,0,18519,NA
1972,1,NA,3,7,33333,NA
1972,1,NA,3,5,50926,NA
1972,1,NA,3,7,83333,NA
1972,1,NA,1,1,11111,NA
1972,1,NA,1,4,41667,NA
1972,1,NA,1,1,41667,NA
1972,1,NA,1,1,25926,NA
1972,1,NA,1,2,3704,NA
1972,1,NA,1,5,69444,NA
1972,1,NA,1,3,33333,NA
1972,1,NA,1,3,33333,NA
1972,1,NA,1,2,41667,NA
1972,1,NA,2,2,50926,NA
1972,1,NA,2,3,41667,NA
1972,1,NA,2,0,25926,NA
1972,1,NA,2,1,18519,NA
1972,1,NA,2,1,11111,NA
1972,1,NA,2,0,11111,NA
1972,1,NA,2,7,18519,NA
1972,2,NA,5,0,11111,NA
1972,2,NA,5,0,NA,NA
1972,2,NA,5,2,33333,NA
1972,2,NA,5,0,33333,NA
1972,2,NA,5,1,33333,NA
1972,2,NA,5,0,18519,NA
1972,2,NA,5,1,33333,NA
1972,2,NA,5,1,3704,NA
1972,2,NA,5,0,18519,NA
1972,2,NA,5,0,11111,NA
1972,2,NA,5,5,33333,NA
1972,2,NA,5,5,11111,NA
1972,2,NA,5,0,11111,NA
1972,2,NA,5,1,3704,NA
1972,2,NA,5,0,11111,NA
1972,2,NA,5,5,11111,NA
1972,1,NA,1,2,41667,NA
1972,1,NA,1,0,33333,NA
1972,1,NA,1,7,11111,NA
1972,1,NA,1,1,69444,NA
